,Datetime,Day of the Year,Description,District,Neighborhood
19956,2016-08-16 15:25:00,229,common assault,central,downtown
19957,2016-08-16 15:11:00,229,robbery - street,northern,mount washington
19958,2016-08-16 15:00:00,229,larceny from auto,southern,federal hill
19959,2016-08-16 14:58:00,229,burglary,southwestern,west hills
19960,2016-08-16 14:40:00,229,common assault,central,upton
19966,2016-08-16 13:35:00,229,agg. assault,western,sandtown-winchester
19967,2016-08-16 13:35:00,229,agg. assault,western,sandtown-winchester
19968,2016-08-16 13:20:00,229,larceny,central,upton
19970,2016-08-16 13:00:00,229,larceny from auto,northwestern,howard park
19972,2016-08-16 12:50:00,229,common assault,western,penn north
19975,2016-08-16 12:00:00,229,larceny from auto,eastern,middle east
19979,2016-08-16 12:00:00,229,auto theft,northeastern,frankford
19983,2016-08-16 11:02:00,229,assault by threat,central,downtown
19984,2016-08-16 11:00:00,229,burglary,northeastern,lauraville
19989,2016-08-16 09:50:00,229,robbery - commercial,western,penn north
19991,2016-08-16 09:00:00,229,burglary,southern,hollins market
19992,2016-08-16 09:00:00,229,larceny,northeastern,loch raven
19994,2016-08-16 08:25:00,229,larceny,central,inner harbor
19995,2016-08-16 08:15:00,229,agg. assault,northeastern,belair-edison
19998,2016-08-16 07:00:00,229,larceny,southeastern,inner harbor
20003,2016-08-16 03:42:00,229,agg. assault,northern,woodberry
20006,2016-08-16 02:50:00,229,robbery - residence,northeastern,loch raven
20007,2016-08-16 02:30:00,229,robbery - street,western,sandtown-winchester
20016,2016-08-16 01:00:00,229,larceny,southwestern,morrell park
20017,2016-08-16 01:00:00,229,auto theft,southern,brooklyn
20018,2016-08-16 00:30:00,229,auto theft,southwestern,west hills
20021,2016-08-16 00:00:00,229,auto theft,central,reservoir hill
20022,2016-08-16 00:00:00,229,auto theft,western,harlem park
20023,2016-08-15 23:15:00,228,larceny,southern,cherry hill
20024,2016-08-15 22:56:00,228,common assault,southwestern,morrell park
20025,2016-08-15 22:30:00,228,larceny from auto,southern,hollins market
20030,2016-08-15 22:00:00,228,auto theft,central,barclay
20031,2016-08-15 22:00:00,228,auto theft,central,barclay
20033,2016-08-15 22:00:00,228,auto theft,southern,brooklyn
20034,2016-08-15 21:50:00,228,larceny from auto,western,poppleton
20039,2016-08-15 21:00:00,228,larceny from auto,northern,mount washington
20041,2016-08-15 21:00:00,228,larceny,northwestern,howard park
20042,2016-08-15 21:00:00,228,larceny,central,upton
20045,2016-08-15 20:40:00,228,common assault,northeastern,belair-edison
20048,2016-08-15 20:30:00,228,common assault,northeastern,belair-edison
20049,2016-08-15 20:25:00,228,robbery - street,northeastern,belair-edison
20053,2016-08-15 20:00:00,228,auto theft,central,upton
20060,2016-08-15 19:00:00,228,larceny,northeastern,lauraville
20061,2016-08-15 19:00:00,228,auto theft,southern,brooklyn
20064,2016-08-15 18:53:00,228,larceny from auto,central,downtown
20074,2016-08-15 18:00:00,228,auto theft,northwestern,ashburton
20075,2016-08-15 17:58:00,228,common assault,northern,hampden
20077,2016-08-15 17:30:00,228,larceny,southeastern,fells point
20078,2016-08-15 17:20:00,228,agg. assault,southern,brooklyn
20079,2016-08-15 17:00:00,228,burglary,central,upton
20080,2016-08-15 17:00:00,228,larceny,southern,curtis bay
20083,2016-08-15 15:57:00,228,larceny,western,sandtown-winchester
20084,2016-08-15 15:40:15,228,rape,central,downtown
20086,2016-08-15 15:00:00,228,burglary,northeastern,lauraville
20091,2016-08-15 14:30:00,228,auto theft,northern,mount washington
20093,2016-08-15 14:18:00,228,robbery - commercial,western,penn north
20094,2016-08-15 14:00:00,228,larceny from auto,southwestern,beechfield
20096,2016-08-15 13:00:00,228,common assault,southeastern,canton
20098,2016-08-15 13:00:00,228,assault by threat,central,downtown
20104,2016-08-15 12:30:00,228,larceny from auto,western,sandtown-winchester
20107,2016-08-15 12:15:00,228,larceny from auto,central,downtown
20113,2016-08-15 11:30:00,228,robbery - street,northeastern,frankford
20114,2016-08-15 11:30:00,228,burglary,central,druid heights
20115,2016-08-15 11:30:00,228,larceny from auto,southern,lakeland
20117,2016-08-15 10:30:00,228,larceny from auto,northeastern,frankford
20120,2016-08-15 10:00:00,228,auto theft,northeastern,frankford
20122,2016-08-15 09:30:00,228,larceny from auto,eastern,middle east
20127,2016-08-15 08:20:00,228,larceny,northern,hampden
20128,2016-08-15 08:10:00,228,burglary,northern,mount washington
20131,2016-08-15 08:00:00,228,burglary,southern,lakeland
20132,2016-08-15 07:40:00,228,agg. assault,central,upton
20133,2016-08-15 07:05:00,228,larceny,central,seton hill
20138,2016-08-15 04:25:00,228,larceny,central,poppleton
20145,2016-08-15 02:15:00,228,larceny,central,reservoir hill
20147,2016-08-15 02:00:00,228,auto theft,northeastern,belair-edison
20148,2016-08-15 01:30:00,228,agg. assault,northwestern,howard park
20149,2016-08-15 01:30:00,228,common assault,northwestern,howard park
20156,2016-08-15 00:00:00,228,common assault,southeastern,inner harbor
20158,2016-08-15 00:00:00,228,larceny,northwestern,ashburton
20161,2016-08-14 23:43:00,227,common assault,central,downtown
20162,2016-08-14 23:10:00,227,common assault,northeastern,cedonia
20163,2016-08-14 23:10:00,227,common assault,northeastern,cedonia
20164,2016-08-14 23:00:00,227,robbery - street,southeastern,fells point
20174,2016-08-14 22:09:00,227,auto theft,central,reservoir hill
20177,2016-08-14 22:00:00,227,auto theft,northern,homeland
20179,2016-08-14 21:30:00,227,burglary,southwestern,walbrook
20181,2016-08-14 21:15:00,227,common assault,southwestern,beechfield
20182,2016-08-14 21:12:00,227,agg. assault,central,downtown
20184,2016-08-14 21:00:00,227,larceny from auto,northern,woodberry
20188,2016-08-14 19:45:00,227,agg. assault,southern,cherry hill
20192,2016-08-14 17:30:00,227,common assault,northwestern,west arlington
20194,2016-08-14 17:12:00,227,common assault,southwestern,allendale
20197,2016-08-14 17:00:00,227,larceny from auto,southeastern,highlandtown
20198,2016-08-14 16:53:00,227,common assault,central,reservoir hill
20200,2016-08-14 16:43:00,227,larceny,northeastern,orangeville
20201,2016-08-14 16:40:00,227,robbery - street,southern,cherry hill
20203,2016-08-14 15:46:00,227,agg. assault,western,sandtown-winchester
20205,2016-08-14 15:34:00,227,larceny,northwestern,arlington
20209,2016-08-14 15:00:00,227,larceny,northern,guilford
20210,2016-08-14 14:05:00,227,shooting,southern,brooklyn
20211,2016-08-14 14:45:00,227,agg. assault,southern,brooklyn
20212,2016-08-14 14:45:00,227,agg. assault,southern,brooklyn
20214,2016-08-14 14:35:00,227,larceny,northeastern,belair-edison
20215,2016-08-14 14:30:00,227,larceny from auto,western,poppleton
20216,2016-08-14 14:20:00,227,robbery - street,northwestern,howard park
20217,2016-08-14 14:00:00,227,robbery - commercial,southern,brooklyn
20224,2016-08-14 12:00:00,227,larceny from auto,northern,remington
20225,2016-08-14 11:20:00,227,robbery - commercial,central,downtown
20231,2016-08-14 10:10:00,227,larceny,central,downtown
20232,2016-08-14 10:00:00,227,common assault,northeastern,frankford
20234,2016-08-14 09:43:00,227,agg. assault,northeastern,lauraville
20235,2016-08-14 09:15:00,227,larceny,northwestern,howard park
20237,2016-08-14 08:15:00,227,larceny from auto,northwestern,west arlington
20254,2016-08-14 02:10:00,227,common assault,southern,federal hill
20263,2016-08-13 23:57:00,226,homicide,western,sandtown-winchester
20265,2016-08-13 23:45:00,226,larceny from auto,northern,mount washington
20266,2016-08-13 23:21:00,226,common assault,northeastern,belair-edison
20268,2016-08-13 23:10:00,226,common assault,southwestern,edmondson village
20277,2016-08-13 22:00:00,226,common assault,northeastern,loch raven
20280,2016-08-13 22:00:00,226,larceny,western,sandtown-winchester
20281,2016-08-13 22:00:00,226,larceny,central,downtown
20282,2016-08-13 21:51:00,226,robbery - street,central,downtown
20283,2016-08-13 21:50:00,226,agg. assault,northeastern,frankford
20288,2016-08-13 21:16:00,226,agg. assault,central,reservoir hill
20290,2016-08-13 21:00:00,226,burglary,southern,cherry hill
20291,2016-08-13 21:00:00,226,burglary,northeastern,belair-edison
20294,2016-08-13 21:00:00,226,larceny,northwestern,howard park
20295,2016-08-13 20:36:00,226,agg. assault,southwestern,walbrook
20296,2016-08-13 20:36:00,226,agg. assault,southwestern,walbrook
20301,2016-08-13 20:00:00,226,auto theft,southwestern,beechfield
20302,2016-08-13 19:55:00,226,shooting,southwestern,walbrook
20303,2016-08-13 19:55:00,226,shooting,southwestern,walbrook
20306,2016-08-13 19:50:00,226,common assault,northern,hampden
20307,2016-08-13 19:43:00,226,agg. assault,southern,cherry hill
20308,2016-08-13 19:15:00,226,larceny from auto,northwestern,west arlington
20309,2016-08-13 18:45:00,226,robbery - street,northern,remington
20310,2016-08-13 18:40:00,226,robbery - street,central,downtown
20313,2016-08-13 18:04:00,226,burglary,northern,hampden
20319,2016-08-13 17:30:00,226,auto theft,southwestern,morrell park
20322,2016-08-13 16:51:00,226,common assault,western,harlem park
20324,2016-08-13 16:30:00,226,burglary,southwestern,violetville
20325,2016-08-13 16:30:00,226,burglary,southwestern,violetville
20326,2016-08-13 16:30:00,226,larceny from auto,southern,lakeland
20329,2016-08-13 16:00:00,226,common assault,central,inner harbor
20332,2016-08-13 16:00:00,226,larceny,central,inner harbor
20333,2016-08-13 15:30:00,226,robbery - street,southeastern,highlandtown
20337,2016-08-13 15:00:00,226,larceny,northern,hampden
20339,2016-08-13 14:43:00,226,larceny,northeastern,belair-edison
20340,2016-08-13 14:40:00,226,burglary,western,harlem park
20341,2016-08-13 14:30:00,226,robbery - street,western,penn north
20345,2016-08-13 14:00:00,226,auto theft,southwestern,edmondson village
20349,2016-08-13 13:00:00,226,burglary,southern,cherry hill
20353,2016-08-13 12:56:00,226,common assault,northeastern,belair-edison
20354,2016-08-13 12:30:00,226,larceny,northern,hampden
20356,2016-08-13 12:15:00,226,agg. assault,eastern,barclay
20358,2016-08-13 12:00:00,226,burglary,southern,cherry hill
20359,2016-08-13 12:00:00,226,larceny,northern,hampden
20370,2016-08-13 11:14:00,226,larceny,northeastern,loch raven
20371,2016-08-13 11:00:00,226,burglary,central,downtown
20374,2016-08-13 10:30:00,226,larceny,southwestern,allendale
20375,2016-08-13 10:29:00,226,larceny,western,sandtown-winchester
20381,2016-08-13 09:30:00,226,larceny from auto,southwestern,west hills
20385,2016-08-13 08:40:00,226,robbery - street,central,downtown
20386,2016-08-13 08:35:00,226,robbery - street,central,downtown
20388,2016-08-13 08:00:00,226,larceny,northeastern,belair-edison
20389,2016-08-13 06:20:00,226,larceny from auto,northern,mount washington
20390,2016-08-13 05:48:00,226,robbery - street,southwestern,morrell park
20392,2016-08-13 05:08:00,226,common assault,southeastern,fells point
20395,2016-08-13 04:29:00,226,larceny from auto,northwestern,howard park
20396,2016-08-13 04:15:00,226,larceny,central,reservoir hill
20400,2016-08-13 03:00:00,226,common assault,central,inner harbor
20403,2016-08-13 02:10:00,226,larceny from auto,southern,lakeland
20404,2016-08-13 02:00:00,226,agg. assault,eastern,barclay
20407,2016-08-13 01:42:00,226,common assault,southern,brooklyn
20409,2016-08-13 01:20:00,226,common assault,southern,cherry hill
20410,2016-08-13 01:15:00,226,robbery - street,southern,hollins market
20414,2016-08-13 00:50:00,226,agg. assault,central,reservoir hill
20418,2016-08-13 00:05:00,226,agg. assault,northwestern,arlington
20423,2016-08-12 23:40:00,225,agg. assault,southern,cherry hill
20425,2016-08-12 23:29:00,225,common assault,central,upton
20426,2016-08-12 23:29:00,225,common assault,central,upton
20433,2016-08-12 22:21:00,225,shooting,central,upton
20438,2016-08-12 22:21:00,225,agg. assault,central,upton
