,Datetime,Day of the Year,Description,District,Neighborhood
34041,2016-05-06 09:30:00,127,burglary,southern,curtis bay
34044,2016-05-06 08:50:00,127,burglary,northeastern,frankford
34045,2016-05-06 08:03:00,127,common assault,southwestern,allendale
34048,2016-05-06 07:50:00,127,burglary,northern,remington
34050,2016-05-06 07:30:00,127,agg. assault,western,sandtown-winchester
34052,2016-05-06 06:45:00,127,burglary,central,reservoir hill
34061,2016-05-06 02:00:00,127,burglary,northern,remington
34062,2016-05-06 02:00:00,127,burglary,southern,brooklyn
34064,2016-05-06 01:20:00,127,larceny from auto,northeastern,frankford
34065,2016-05-06 01:20:00,127,larceny from auto,northeastern,frankford
34068,2016-05-06 00:30:00,127,auto theft,northwestern,cheswolde
34073,2016-05-05 23:30:00,126,common assault,central,druid heights
34074,2016-05-05 23:05:00,126,agg. assault,central,downtown
34079,2016-05-05 23:00:00,126,auto theft,northeastern,belair-edison
34082,2016-05-05 22:00:00,126,agg. assault,northwestern,howard park
34085,2016-05-05 22:00:00,126,auto theft,central,upton
34092,2016-05-05 21:00:00,126,larceny,northeastern,belair-edison
34094,2016-05-05 21:00:00,126,auto theft,northern,hampden
34100,2016-05-05 20:00:00,126,larceny,western,sandtown-winchester
34102,2016-05-05 19:30:00,126,larceny from auto,northern,hampden
34103,2016-05-05 19:30:00,126,larceny,northeastern,frankford
34107,2016-05-05 19:00:00,126,burglary,central,downtown
34108,2016-05-05 18:30:00,126,larceny from auto,northeastern,frankford
34109,2016-05-05 18:30:00,126,larceny from auto,central,seton hill
34112,2016-05-05 18:00:00,126,robbery - commercial,southern,brooklyn
34113,2016-05-05 18:00:00,126,larceny,western,penn north
34116,2016-05-05 18:00:00,126,auto theft,western,sandtown-winchester
34123,2016-05-05 16:00:00,126,robbery - commercial,southeastern,fells point
34124,2016-05-05 16:00:00,126,robbery - commercial,southeastern,fells point
34128,2016-05-05 15:17:00,126,common assault,southwestern,morrell park
34131,2016-05-05 14:30:00,126,common assault,southern,curtis bay
34139,2016-05-05 13:45:00,126,burglary,southern,cherry hill
34143,2016-05-05 13:10:00,126,burglary,central,reservoir hill
34145,2016-05-05 12:15:00,126,arson,northeastern,belair-edison
34147,2016-05-05 12:00:00,126,larceny,southwestern,morrell park
34148,2016-05-05 12:00:00,126,auto theft,northern,mount washington
34149,2016-05-05 12:00:00,126,auto theft,central,upton
34152,2016-05-05 11:17:00,126,larceny,northeastern,belair-edison
34153,2016-05-05 10:55:00,126,larceny,central,downtown
34156,2016-05-05 10:00:00,126,robbery - street,central,upton
34158,2016-05-05 09:50:00,126,common assault,western,sandtown-winchester
34159,2016-05-05 09:30:00,126,larceny from auto,northern,hampden
34160,2016-05-05 09:30:00,126,larceny,northeastern,belair-edison
34161,2016-05-05 09:05:00,126,larceny,central,downtown
34162,2016-05-05 09:00:00,126,burglary,northern,mount washington
34165,2016-05-05 08:30:00,126,larceny,northern,mount washington
34166,2016-05-05 08:30:00,126,auto theft,eastern,middle east
34167,2016-05-05 08:20:00,126,robbery - street,central,poppleton
34168,2016-05-05 08:00:00,126,burglary,southern,brooklyn
34169,2016-05-05 08:00:00,126,burglary,southern,brooklyn
34176,2016-05-05 07:00:00,126,burglary,southern,cherry hill
34182,2016-05-05 05:30:00,126,auto theft,northeastern,cedonia
34186,2016-05-05 03:00:00,126,auto theft,southwestern,morrell park
34189,2016-05-05 01:54:00,126,robbery - street,northeastern,frankford
34190,2016-05-05 01:54:00,126,robbery - street,northeastern,frankford
34195,2016-05-05 01:07:00,126,robbery - street,southeastern,highlandtown
34196,2016-05-05 01:03:00,126,common assault,southwestern,violetville
34199,2016-05-05 00:00:00,126,common assault,southern,cherry hill
34200,2016-05-05 00:00:00,126,larceny from auto,southwestern,morrell park
34201,2016-05-05 00:00:00,126,auto theft,southwestern,morrell park
34205,2016-05-04 23:00:00,125,burglary,northeastern,frankford
34206,2016-05-04 23:00:00,125,auto theft,northeastern,belair-edison
34208,2016-05-04 22:30:00,125,robbery - street,northeastern,loch raven
34217,2016-05-04 21:00:00,125,larceny from auto,southeastern,canton
34218,2016-05-04 21:00:00,125,auto theft,northern,mount washington
34224,2016-05-04 20:00:00,125,larceny,southwestern,walbrook
34225,2016-05-04 20:00:00,125,larceny from auto,northwestern,forest park
34226,2016-05-04 20:00:00,125,larceny,northwestern,forest park
34235,2016-05-04 19:00:00,125,larceny,northeastern,frankford
34237,2016-05-04 18:40:00,125,robbery - street,southeastern,fells point
34238,2016-05-04 18:40:00,125,robbery - carjacking,southeastern,fells point
34240,2016-05-04 18:10:00,125,auto theft,northeastern,frankford
34249,2016-05-04 17:30:00,125,larceny,northwestern,dorchester
34254,2016-05-04 16:00:00,125,larceny from auto,southwestern,morrell park
34255,2016-05-04 16:00:00,125,larceny,central,downtown
34256,2016-05-04 15:45:00,125,larceny from auto,central,poppleton
34265,2016-05-04 14:50:00,125,common assault,northeastern,belair-edison
34266,2016-05-04 14:43:00,125,robbery - commercial,northeastern,belair-edison
34267,2016-05-04 14:00:00,125,larceny,western,sandtown-winchester
34272,2016-05-04 12:45:00,125,common assault,central,seton hill
34274,2016-05-04 12:30:00,125,auto theft,northeastern,belair-edison
34276,2016-05-04 12:00:00,125,larceny from auto,southeastern,highlandtown
34280,2016-05-04 11:30:00,125,burglary,central,upton
34282,2016-05-04 11:15:00,125,auto theft,northern,coldspring
34287,2016-05-04 10:30:00,125,larceny,central,inner harbor
34289,2016-05-04 10:00:00,125,larceny from auto,northern,guilford
34292,2016-05-04 09:00:00,125,auto theft,southwestern,morrell park
34303,2016-05-04 06:00:00,125,auto theft,southeastern,fells point
34304,2016-05-04 05:30:00,125,larceny,northeastern,loch raven
34305,2016-05-04 04:49:00,125,burglary,southwestern,irvington
34306,2016-05-04 03:29:00,125,agg. assault,southern,cherry hill
34307,2016-05-04 03:17:00,125,agg. assault,southern,cherry hill
34308,2016-05-04 03:11:00,125,agg. assault,southern,cherry hill
34309,2016-05-04 03:07:00,125,agg. assault,southern,cherry hill
34310,2016-05-04 02:55:00,125,agg. assault,southern,cherry hill
34311,2016-05-04 02:46:00,125,agg. assault,southern,cherry hill
34312,2016-05-04 02:40:00,125,agg. assault,southern,cherry hill
34315,2016-05-04 02:33:00,125,agg. assault,southern,cherry hill
34316,2016-05-04 02:32:00,125,agg. assault,southern,cherry hill
34317,2016-05-04 02:30:00,125,agg. assault,southern,cherry hill
34320,2016-05-04 01:03:00,125,burglary,southern,lakeland
34321,2016-05-04 00:40:00,125,auto theft,northwestern,west arlington
34323,2016-05-04 00:20:00,125,larceny,southern,cherry hill
34324,2016-05-04 00:01:00,125,auto theft,northeastern,belair-edison
34328,2016-05-03 23:00:00,124,larceny,southwestern,allendale
34330,2016-05-03 22:53:00,124,agg. assault,southern,cherry hill
34332,2016-05-03 22:45:00,124,robbery - commercial,southern,curtis bay
34336,2016-05-03 22:15:00,124,auto theft,western,poppleton
34337,2016-05-03 22:06:00,124,common assault,southern,lakeland
34341,2016-05-03 21:34:00,124,auto theft,northeastern,belair-edison
34342,2016-05-03 21:00:00,124,common assault,southwestern,morrell park
34348,2016-05-03 20:30:00,124,auto theft,northwestern,cheswolde
34353,2016-05-03 19:00:00,124,larceny from auto,central,druid heights
34354,2016-05-03 19:00:00,124,larceny,northwestern,cheswolde
34356,2016-05-03 19:00:00,124,auto theft,northwestern,west arlington
34357,2016-05-03 19:00:00,124,auto theft,southern,brooklyn
34360,2016-05-03 18:30:00,124,larceny from auto,southeastern,canton
34361,2016-05-03 18:30:00,124,larceny from auto,northern,barclay
34362,2016-05-03 18:30:00,124,larceny,southern,curtis bay
34363,2016-05-03 18:15:00,124,larceny from auto,southeastern,canton
34365,2016-05-03 18:00:00,124,agg. assault,southern,cherry hill
34366,2016-05-03 18:00:00,124,larceny from auto,northwestern,howard park
34369,2016-05-03 17:53:00,124,larceny,southern,brooklyn
34373,2016-05-03 17:30:00,124,agg. assault,southern,cherry hill
34374,2016-05-03 17:00:00,124,agg. assault,southern,cherry hill
34375,2016-05-03 17:00:00,124,burglary,central,upton
34376,2016-05-03 17:00:00,124,larceny,western,penn north
34379,2016-05-03 16:30:00,124,larceny,central,downtown
34381,2016-05-03 16:00:00,124,larceny,western,penn north
34397,2016-05-03 14:20:00,124,common assault,southern,cherry hill
34399,2016-05-03 14:00:00,124,larceny from auto,eastern,middle east
34401,2016-05-03 13:40:00,124,larceny,central,inner harbor
34403,2016-05-03 13:00:00,124,auto theft,southwestern,west hills
34405,2016-05-03 12:08:00,124,common assault,central,upton
34406,2016-05-03 12:08:00,124,common assault,central,upton
34407,2016-05-03 12:02:00,124,larceny,central,inner harbor
34408,2016-05-03 12:00:00,124,agg. assault,southern,cherry hill
34410,2016-05-03 12:00:00,124,burglary,central,reservoir hill
34411,2016-05-03 12:00:00,124,auto theft,western,sandtown-winchester
34414,2016-05-03 11:00:00,124,agg. assault,southern,cherry hill
34416,2016-05-03 11:00:00,124,larceny from auto,central,upton
34419,2016-05-03 10:20:00,124,larceny,central,downtown
34423,2016-05-03 10:00:00,124,robbery - residence,southern,cherry hill
34428,2016-05-03 09:00:00,124,common assault,northeastern,belair-edison
34429,2016-05-03 09:00:00,124,burglary,southern,cherry hill
34430,2016-05-03 09:00:00,124,larceny from auto,central,upton
34441,2016-05-03 07:00:00,124,burglary,northeastern,frankford
34457,2016-05-03 02:50:00,124,common assault,northeastern,frankford
34460,2016-05-03 02:00:00,124,auto theft,southwestern,morrell park
34461,2016-05-03 01:30:00,124,agg. assault,northeastern,lauraville
34463,2016-05-03 00:05:00,124,agg. assault,southern,cherry hill
34469,2016-05-02 22:45:00,123,agg. assault,southern,federal hill
34471,2016-05-02 22:30:00,123,robbery - commercial,southern,cherry hill
34473,2016-05-02 22:18:00,123,common assault,southwestern,violetville
34474,2016-05-02 21:30:00,123,larceny from auto,northeastern,frankford
34476,2016-05-02 21:05:00,123,agg. assault,southern,cherry hill
34477,2016-05-02 21:00:00,123,burglary,northern,coldspring
34480,2016-05-02 21:00:00,123,larceny,central,seton hill
34493,2016-05-02 18:41:00,123,common assault,northeastern,belair-edison
34494,2016-05-02 18:30:00,123,larceny from auto,western,poppleton
34496,2016-05-02 18:08:00,123,robbery - street,southern,lakeland
34498,2016-05-02 18:00:00,123,larceny from auto,southeastern,canton
34501,2016-05-02 17:50:00,123,robbery - street,central,downtown
34502,2016-05-02 17:48:00,123,auto theft,eastern,middle east
34506,2016-05-02 17:15:00,123,larceny,northeastern,belair-edison
34507,2016-05-02 17:00:00,123,robbery - street,central,downtown
34508,2016-05-02 17:00:00,123,agg. assault,southern,brooklyn
34509,2016-05-02 17:00:00,123,common assault,central,downtown
34510,2016-05-02 17:00:00,123,burglary,central,druid heights
34514,2016-05-02 16:45:00,123,common assault,southwestern,edmondson village
34515,2016-05-02 16:45:00,123,common assault,southwestern,edmondson village
34517,2016-05-02 16:25:00,123,robbery - street,central,downtown
34522,2016-05-02 15:41:00,123,homicide,southern,brooklyn
34523,2016-05-02 15:50:00,123,robbery - street,central,downtown
34530,2016-05-02 14:30:00,123,agg. assault,northeastern,cedonia
34534,2016-05-02 14:00:00,123,assault by threat,central,downtown
34536,2016-05-02 13:40:00,123,shooting,southern,brooklyn
34537,2016-05-02 13:40:00,123,shooting,southern,brooklyn
34538,2016-05-02 13:40:00,123,agg. assault,southern,brooklyn
34539,2016-05-02 13:40:00,123,agg. assault,southern,brooklyn
34548,2016-05-02 12:00:00,123,robbery - commercial,southwestern,irvington
34550,2016-05-02 11:45:00,123,robbery - street,central,druid heights
34555,2016-05-02 11:20:00,123,robbery - commercial,southeastern,fells point
34557,2016-05-02 11:05:00,123,larceny,central,inner harbor
34558,2016-05-02 11:00:00,123,agg. assault,northern,guilford
34561,2016-05-02 11:00:00,123,burglary,northwestern,ashburton
34566,2016-05-02 10:00:00,123,burglary,western,penn north
34567,2016-05-02 10:00:00,123,larceny,central,downtown
34569,2016-05-02 10:00:00,123,larceny,southwestern,morrell park
34574,2016-05-02 09:05:00,123,larceny,central,downtown
34576,2016-05-02 09:00:00,123,larceny from auto,central,barclay
34577,2016-05-02 09:00:00,123,larceny,central,downtown
34578,2016-05-02 09:00:00,123,larceny,southern,hollins market
34580,2016-05-02 09:00:00,123,larceny,southeastern,canton
34581,2016-05-02 09:00:00,123,larceny,western,harlem park
34583,2016-05-02 08:00:00,123,larceny,southwestern,morrell park
34589,2016-05-02 05:15:00,123,burglary,northern,hampden
34591,2016-05-02 03:54:00,123,common assault,eastern,oldtown
34592,2016-05-02 03:00:00,123,larceny from auto,western,sandtown-winchester
34594,2016-05-02 02:00:00,123,burglary,southern,brooklyn
34595,2016-05-02 02:00:00,123,larceny from auto,southwestern,allendale
34600,2016-05-02 01:01:00,123,larceny,southern,cherry hill
34604,2016-05-02 00:30:00,123,auto theft,central,druid heights
34607,2016-05-02 00:01:00,123,burglary,southern,brooklyn
34618,2016-05-01 22:00:00,122,larceny,northwestern,howard park
34620,2016-05-01 22:00:00,122,auto theft,northeastern,loch raven
34623,2016-05-01 21:45:00,122,larceny,central,inner harbor
34624,2016-05-01 21:20:00,122,common assault,central,downtown
34625,2016-05-01 21:20:00,122,common assault,central,downtown
34626,2016-05-01 21:20:00,122,common assault,central,downtown
34627,2016-05-01 21:20:00,122,common assault,central,downtown
34628,2016-05-01 21:00:00,122,larceny from auto,southeastern,canton
34629,2016-05-01 21:00:00,122,larceny from auto,southwestern,beechfield
34633,2016-05-01 20:50:00,122,larceny,central,downtown
34637,2016-05-01 20:15:00,122,agg. assault,western,harlem park
34638,2016-05-01 20:00:00,122,common assault,western,harlem park
34640,2016-05-01 20:00:00,122,larceny,southern,curtis bay
34641,2016-05-01 20:00:00,122,larceny,northeastern,frankford
34642,2016-05-01 20:00:00,122,auto theft,southern,curtis bay
34644,2016-05-01 19:00:00,122,larceny,western,harlem park
34646,2016-05-01 19:00:00,122,auto theft,northern,medfield
34647,2016-05-01 19:00:00,122,auto theft,northern,medfield
34648,2016-05-01 18:25:00,122,robbery - street,southern,lakeland
34650,2016-05-01 18:00:00,122,larceny,southern,cherry hill
34651,2016-05-01 18:00:00,122,larceny,western,penn north
34660,2016-05-01 15:45:00,122,auto theft,northern,barclay
34662,2016-05-01 15:30:00,122,agg. assault,central,upton
34665,2016-05-01 15:11:57,122,rape,southern,hollins market
34671,2016-05-01 14:30:00,122,burglary,southern,federal hill
34678,2016-05-01 11:40:00,122,auto theft,southern,cherry hill
34686,2016-05-01 10:44:00,122,burglary,northern,guilford
34687,2016-05-01 10:40:00,122,agg. assault,southern,cherry hill
34688,2016-05-01 10:40:00,122,common assault,southern,cherry hill
34690,2016-05-01 10:00:00,122,larceny,southern,cherry hill
34707,2016-05-01 02:27:00,122,shooting,northwestern,howard park
34710,2016-05-01 02:28:00,122,common assault,southeastern,canton
34711,2016-05-01 02:27:00,122,agg. assault,northwestern,howard park
34712,2016-05-01 02:24:00,122,agg. assault,northeastern,frankford
34716,2016-05-01 01:30:00,122,common assault,central,downtown
34717,2016-05-01 01:20:00,122,auto theft,western,sandtown-winchester
34721,2016-05-01 01:01:00,122,larceny,southern,curtis bay
34727,2016-05-01 00:00:00,122,larceny,northern,hampden
34733,2016-04-30 23:45:00,121,robbery - street,northeastern,frankford
34740,2016-04-30 23:00:00,121,common assault,northwestern,forest park
34742,2016-04-30 23:00:00,121,larceny,northeastern,loch raven
34745,2016-04-30 22:00:00,121,burglary,western,harlem park
34746,2016-04-30 22:00:00,121,larceny from auto,northern,hampden
34747,2016-04-30 22:00:00,121,larceny from auto,southeastern,canton
34748,2016-04-30 21:51:00,121,robbery - street,southern,cherry hill
34752,2016-04-30 21:00:00,121,larceny from auto,southeastern,canton
34753,2016-04-30 21:00:00,121,larceny,western,penn north
34754,2016-04-30 21:00:00,121,auto theft,southern,cherry hill
34756,2016-04-30 20:00:00,121,agg. assault,southern,brooklyn
34757,2016-04-30 20:00:00,121,auto theft,western,penn north
34758,2016-04-30 20:00:00,121,auto theft,southwestern,morrell park
34761,2016-04-30 19:00:00,121,burglary,southern,cherry hill
34764,2016-04-30 18:30:00,121,robbery - street,southern,cherry hill
34765,2016-04-30 18:30:00,121,larceny,southwestern,walbrook
34768,2016-04-30 17:30:00,121,burglary,northern,remington
34769,2016-04-30 17:18:00,121,larceny,eastern,middle east
34771,2016-04-30 16:45:00,121,larceny,northeastern,lauraville
34780,2016-04-30 16:00:00,121,larceny,western,poppleton
34781,2016-04-30 15:45:00,121,agg. assault,northeastern,belair-edison
34782,2016-04-30 15:35:00,121,larceny,northeastern,belair-edison
34789,2016-04-30 14:00:00,121,larceny from auto,southeastern,fells point
34793,2016-04-30 11:13:00,121,agg. assault,southern,westport
34794,2016-04-30 11:00:00,121,larceny,southwestern,allendale
34803,2016-04-30 05:15:00,121,agg. assault,western,harlem park
34810,2016-04-30 02:35:00,121,robbery - street,western,sandtown-winchester
34811,2016-04-30 02:30:00,121,auto theft,southern,cherry hill
34812,2016-04-30 02:00:00,121,common assault,northern,hampden
34813,2016-04-30 02:00:00,121,common assault,northern,hampden
34814,2016-04-30 02:00:00,121,common assault,central,inner harbor
34815,2016-04-30 02:00:00,121,common assault,central,inner harbor
34818,2016-04-30 01:00:00,121,larceny,northeastern,belair-edison
34821,2016-04-30 00:30:00,121,robbery - street,northern,guilford
34824,2016-04-30 00:01:00,121,larceny from auto,southwestern,morrell park
34826,2016-04-29 23:00:00,120,burglary,northern,remington
34827,2016-04-29 23:00:00,120,burglary,northern,remington
34829,2016-04-29 22:40:00,120,larceny,southwestern,morrell park
34830,2016-04-29 22:30:00,120,robbery - street,southwestern,morrell park
34835,2016-04-29 21:46:00,120,common assault,western,penn north
34836,2016-04-29 21:45:00,120,larceny,northeastern,lauraville
34837,2016-04-29 21:36:00,120,larceny,northeastern,frankford
34838,2016-04-29 21:30:00,120,robbery - street,southeastern,fells point
34843,2016-04-29 21:00:00,120,agg. assault,northwestern,howard park
34845,2016-04-29 21:00:00,120,auto theft,southwestern,walbrook
34846,2016-04-29 20:55:00,120,larceny,central,downtown
34849,2016-04-29 20:30:00,120,auto theft,northeastern,loch raven
34852,2016-04-29 19:56:00,120,larceny,central,inner harbor
34853,2016-04-29 19:15:00,120,larceny,northeastern,frankford
34859,2016-04-29 18:25:00,120,larceny,northeastern,belair-edison
34860,2016-04-29 18:00:00,120,common assault,central,downtown
34864,2016-04-29 17:00:00,120,auto theft,northeastern,belair-edison
34865,2016-04-29 17:00:00,120,auto theft,northwestern,howard park
34866,2016-04-29 16:45:00,120,larceny,northeastern,belair-edison
34867,2016-04-29 16:40:00,120,common assault,southern,cherry hill
34868,2016-04-29 16:00:00,120,agg. assault,central,downtown
34870,2016-04-29 16:00:00,120,common assault,southwestern,violetville
34872,2016-04-29 16:00:00,120,larceny,central,downtown
34877,2016-04-29 15:45:00,120,robbery - street,northeastern,belair-edison
34882,2016-04-29 15:00:00,120,common assault,northeastern,frankford
34885,2016-04-29 14:59:00,120,common assault,northeastern,frankford
34886,2016-04-29 14:52:00,120,agg. assault,northeastern,belair-edison
34888,2016-04-29 14:45:00,120,larceny,central,reservoir hill
34890,2016-04-29 14:30:00,120,larceny,northeastern,belair-edison
34906,2016-04-29 11:16:00,120,larceny,northeastern,lauraville
34909,2016-04-29 10:31:43,120,rape,southwestern,morrell park
34912,2016-04-29 10:00:00,120,larceny from auto,southern,federal hill
34915,2016-04-29 09:45:00,120,burglary,central,upton
34917,2016-04-29 09:00:00,120,larceny,western,sandtown-winchester
34918,2016-04-29 08:50:00,120,common assault,western,sandtown-winchester
34924,2016-04-29 07:30:00,120,burglary,northern,mount washington
34925,2016-04-29 07:20:00,120,burglary,northern,mount washington
34929,2016-04-29 07:00:00,120,auto theft,northern,woodberry
34932,2016-04-29 06:30:00,120,robbery - carjacking,central,reservoir hill
34933,2016-04-29 06:07:00,120,robbery - carjacking,southeastern,canton
34936,2016-04-29 05:38:00,120,robbery - street,southern,hollins market
34937,2016-04-29 05:38:00,120,robbery - commercial,southern,hollins market
34943,2016-04-29 02:20:00,120,robbery - commercial,southern,cherry hill
34945,2016-04-29 01:35:00,120,agg. assault,central,downtown
34949,2016-04-29 00:57:00,120,common assault,southeastern,canton
34952,2016-04-28 23:30:00,119,agg. assault,southeastern,fells point
34953,2016-04-28 23:00:00,119,burglary,western,sandtown-winchester
34955,2016-04-28 23:00:00,119,auto theft,southwestern,irvington
34960,2016-04-28 21:58:00,119,homicide,northwestern,howard park
34963,2016-04-28 21:18:00,119,robbery - residence,southeastern,highlandtown
34964,2016-04-28 21:18:00,119,robbery - residence,southeastern,highlandtown
34973,2016-04-28 20:20:00,119,auto theft,western,poppleton
34974,2016-04-28 20:00:00,119,burglary,southwestern,edmondson village
34975,2016-04-28 20:00:00,119,burglary,central,downtown
34977,2016-04-28 20:00:00,119,auto theft,southern,federal hill
34978,2016-04-28 19:39:00,119,homicide,northwestern,howard park
34984,2016-04-28 19:00:00,119,burglary,southern,westport
34989,2016-04-28 18:30:00,119,larceny,northeastern,belair-edison
34996,2016-04-28 16:23:00,119,larceny,northeastern,belair-edison
34998,2016-04-28 16:20:00,119,larceny,central,downtown
35001,2016-04-28 15:00:00,119,robbery - street,southern,federal hill
35002,2016-04-28 15:00:00,119,robbery - residence,southern,brooklyn
35009,2016-04-28 14:00:00,119,auto theft,southern,federal hill
35011,2016-04-28 13:48:00,119,robbery - commercial,southeastern,fells point
35012,2016-04-28 13:48:00,119,agg. assault,southeastern,fells point
35015,2016-04-28 13:05:00,119,larceny,northeastern,belair-edison
35016,2016-04-28 13:00:00,119,burglary,northern,barclay
35018,2016-04-28 12:50:00,119,robbery - residence,central,druid heights
35020,2016-04-28 12:30:00,119,larceny,central,downtown
35024,2016-04-28 12:00:00,119,burglary,eastern,oldtown
35025,2016-04-28 12:00:00,119,larceny from auto,southwestern,morrell park
35026,2016-04-28 12:00:00,119,larceny,northern,medfield
35029,2016-04-28 11:04:00,119,agg. assault,western,harlem park
35031,2016-04-28 10:00:00,119,larceny,central,downtown
35032,2016-04-28 10:00:00,119,larceny,central,poppleton
35036,2016-04-28 09:00:00,119,robbery - street,northeastern,frankford
35039,2016-04-28 09:00:00,119,larceny,eastern,barclay
35041,2016-04-28 08:30:00,119,larceny,northeastern,frankford
35044,2016-04-28 08:00:00,119,common assault,southeastern,canton
35048,2016-04-28 07:15:00,119,burglary,southwestern,ten hills
35053,2016-04-28 05:11:00,119,common assault,western,harlem park
35058,2016-04-28 04:00:00,119,robbery - street,eastern,barclay
35060,2016-04-28 02:50:00,119,robbery - commercial,southeastern,highlandtown
35066,2016-04-28 01:11:00,119,arson,western,sandtown-winchester
35067,2016-04-28 01:01:00,119,auto theft,northeastern,belair-edison
35068,2016-04-28 01:00:00,119,common assault,central,upton
35069,2016-04-28 01:00:00,119,burglary,southern,cherry hill
35070,2016-04-28 00:50:00,119,burglary,southern,westport
35074,2016-04-28 00:00:00,119,larceny from auto,northern,guilford
35075,2016-04-27 23:45:00,118,homicide,northwestern,howard park
35077,2016-04-27 23:30:00,118,common assault,northern,hampden
35078,2016-04-27 23:30:00,118,larceny,northern,hampden
35079,2016-04-27 23:30:00,118,larceny,northern,hampden
35090,2016-04-27 22:00:00,118,larceny from auto,southeastern,canton
35093,2016-04-27 21:30:00,118,larceny from auto,central,druid heights
35094,2016-04-27 21:15:00,118,larceny from auto,northeastern,belair-edison
35102,2016-04-27 20:00:00,118,larceny from auto,western,penn north
35103,2016-04-27 19:45:00,118,agg. assault,western,poppleton
35106,2016-04-27 19:18:00,118,common assault,northwestern,arlington
35107,2016-04-27 19:13:00,118,agg. assault,southeastern,highlandtown
35108,2016-04-27 19:13:00,118,common assault,southeastern,highlandtown
35109,2016-04-27 19:02:00,118,burglary,southwestern,morrell park
35110,2016-04-27 19:00:00,118,larceny from auto,western,penn north
35116,2016-04-27 18:00:00,118,burglary,southern,cherry hill
35119,2016-04-27 18:00:00,118,larceny,northeastern,frankford
35120,2016-04-27 18:00:00,118,arson,southern,brooklyn
35121,2016-04-27 17:56:00,118,common assault,central,downtown
35122,2016-04-27 17:30:00,118,common assault,southwestern,walbrook
35124,2016-04-27 17:25:00,118,larceny,southeastern,fells point
35131,2016-04-27 16:40:00,118,robbery - street,central,downtown
35135,2016-04-27 16:30:00,118,larceny,southeastern,inner harbor
35138,2016-04-27 16:30:00,118,auto theft,northern,hampden
35141,2016-04-27 16:00:00,118,robbery - street,eastern,barclay
35146,2016-04-27 15:00:00,118,robbery - street,eastern,oldtown
35147,2016-04-27 15:00:00,118,common assault,southeastern,highlandtown
35148,2016-04-27 15:00:00,118,burglary,southern,westport
35150,2016-04-27 15:00:00,118,larceny,central,reservoir hill
35152,2016-04-27 14:45:00,118,common assault,western,harlem park
35154,2016-04-27 14:30:00,118,burglary,southern,cherry hill
35156,2016-04-27 14:20:00,118,larceny,southeastern,highlandtown
35157,2016-04-27 14:00:00,118,robbery - carjacking,northern,woodberry
35161,2016-04-27 13:30:00,118,common assault,southern,curtis bay
35162,2016-04-27 13:06:00,118,agg. assault,northeastern,belair-edison
35163,2016-04-27 13:00:00,118,burglary,northern,woodberry
35166,2016-04-27 12:00:00,118,larceny,western,penn north
35168,2016-04-27 11:15:00,118,common assault,northwestern,arlington
35176,2016-04-27 09:55:00,118,larceny,northeastern,lauraville
35177,2016-04-27 09:15:00,118,robbery - street,central,downtown
35178,2016-04-27 09:00:00,118,burglary,northern,mount washington
35179,2016-04-27 09:00:00,118,larceny,western,sandtown-winchester
35185,2016-04-27 07:40:00,118,larceny from auto,southwestern,violetville
35190,2016-04-27 06:00:00,118,larceny,central,upton
35191,2016-04-27 05:07:00,118,larceny,central,upton
35194,2016-04-27 02:22:00,118,larceny from auto,southeastern,canton
35196,2016-04-27 01:50:00,118,burglary,western,poppleton
35201,2016-04-27 00:36:00,118,larceny,central,reservoir hill
35203,2016-04-26 23:30:00,117,larceny,southwestern,morrell park
35204,2016-04-26 23:30:00,117,larceny from auto,northeastern,belair-edison
35207,2016-04-26 23:00:00,117,larceny from auto,northwestern,howard park
35209,2016-04-26 22:00:00,117,homicide,southwestern,allendale
35211,2016-04-26 22:46:00,117,agg. assault,southern,cherry hill
35217,2016-04-26 22:05:00,117,agg. assault,southeastern,fells point
35218,2016-04-26 22:05:00,117,assault by threat,southeastern,fells point
35219,2016-04-26 22:00:00,117,robbery - street,southern,brooklyn
35220,2016-04-26 22:00:00,117,robbery - street,southern,brooklyn
35221,2016-04-26 22:00:00,117,robbery - street,southern,brooklyn
35222,2016-04-26 22:00:00,117,robbery - street,southern,brooklyn
35223,2016-04-26 22:00:00,117,larceny,southeastern,highlandtown
35227,2016-04-26 09:55:00,117,burglary,central,downtown
35229,2016-04-26 21:30:00,117,common assault,central,downtown
35239,2016-04-26 20:00:00,117,burglary,northeastern,frankford
35240,2016-04-26 20:00:00,117,auto theft,southwestern,west hills
35241,2016-04-26 20:00:00,117,auto theft,northern,guilford
35247,2016-04-26 19:30:00,117,burglary,northeastern,belair-edison
35248,2016-04-26 19:19:00,117,larceny,southwestern,morrell park
35253,2016-04-26 19:00:00,117,burglary,southeastern,highlandtown
35254,2016-04-26 19:00:00,117,burglary,northeastern,loch raven
35257,2016-04-26 19:00:00,117,larceny,northeastern,frankford
35260,2016-04-26 18:34:00,117,larceny,central,downtown
35261,2016-04-26 18:30:00,117,burglary,northeastern,belair-edison
35262,2016-04-26 18:15:00,117,robbery - street,central,downtown
35263,2016-04-26 18:15:00,117,robbery - street,eastern,middle east
35267,2016-04-26 17:00:00,117,robbery - street,eastern,middle east
35268,2016-04-26 17:00:00,117,common assault,eastern,middle east
35278,2016-04-26 15:36:00,117,larceny,southeastern,highlandtown
35284,2016-04-26 15:00:00,117,larceny,southern,federal hill
